,time,successCount,failCount,data_center
0,2019-02-17T00:00,592,25,BeiJing
1,2019-02-18T00:00,637,628,BeiJing
2,2019-02-19T00:00,577,908,BeiJing
3,2019-02-20T00:00,654,984,BeiJing
4,2019-02-21T00:00,657,995,BeiJing
5,2019-02-22T00:00,662,823,BeiJing
6,2019-02-23T00:00,572,825,BeiJing
0,2019-02-17T00:00,288,90,ShangHai
1,2019-02-18T00:00,287,0,ShangHai
2,2019-02-19T00:00,346,22,ShangHai
3,2019-02-20T00:00,286,0,ShangHai
4,2019-02-21T00:00,281,0,ShangHai
5,2019-02-22T00:00,288,0,ShangHai
6,2019-02-23T00:00,273,0,ShangHai
0,2019-02-17T00:00,307,0,HangZhou
1,2019-02-18T00:00,366,4,HangZhou
2,2019-02-19T00:00,370,1,HangZhou
3,2019-02-20T00:00,293,3,HangZhou
4,2019-02-21T00:00,351,2,HangZhou
5,2019-02-22T00:00,430,0,HangZhou
6,2019-02-23T00:00,412,0,HangZhou
0,2019-02-17T00:00,288,0,HeFei
1,2019-02-18T00:00,290,0,HeFei
2,2019-02-19T00:00,289,3,HeFei
3,2019-02-20T00:00,289,1,HeFei
4,2019-02-21T00:00,288,0,HeFei
5,2019-02-22T00:00,306,0,HeFei
6,2019-02-23T00:00,288,0,HeFei